SRPM name,Maintained by,built by,added by,import reason,main role
biosdevname,OS Platform,xcp-ng,xs,,main
control-slice,?,xcp-ng,xs,,main
guest-templates-json,XAPI & Network,xcp-ng,xs,,main
vmss,?,xcp-ng,xs,,main
xscontainer,?,xcp-ng,xcp-ng,Not present in XS 8.3 anymore,extra
avago-megaraid-sas,Hypervisor & Kernel,xcp-ng,xs,,main
avago-mpt3sas,Hypervisor & Kernel,xcp-ng,xs,,main
broadcom-bnxt-en,Hypervisor & Kernel,xcp-ng,xs,,main
chelsio-cxgb4,Hypervisor & Kernel,xcp-ng,xs,,main
cisco-enic,Hypervisor & Kernel,xcp-ng,xs,,main
cisco-fnic,Hypervisor & Kernel,xcp-ng,xs,,main
edk2,Hypervisor & Kernel,xcp-ng,xs,,main
emulex-lpfc,Hypervisor & Kernel,xcp-ng,xs,,main
intel-e1000e,Hypervisor & Kernel,xcp-ng,xs,,main
intel-fm10k,Hypervisor & Kernel,xcp-ng,xs,,main
intel-i40e,Hypervisor & Kernel,xcp-ng,xs,,main
intel-ice,Hypervisor & Kernel,xcp-ng,xs,,main
intel-igb,Hypervisor & Kernel,xcp-ng,xs,,main
intel-igc,Hypervisor & Kernel,xcp-ng,,,main
intel-ixgbe,Hypervisor & Kernel,xcp-ng,xs,,main
ipxe,Hypervisor & Kernel,xcp-ng,xs,,main
kernel,Hypervisor & Kernel,xcp-ng,xs,,main
kexec-tools,Hypervisor & Kernel,xcp-ng,xs,,main
kpatch,Hypervisor & Kernel,xcp-ng,xs,,main
libdrm,Hypervisor & Kernel,xcp-ng,xs,,main
libempserver,Hypervisor & Kernel,xcp-ng,xs,,main
libtpms,Hypervisor & Kernel,xcp-ng,xs,,main
mellanox-mlnxen,Hypervisor & Kernel,xcp-ng,xs,,main
microsemi-aacraid,Hypervisor & Kernel,xcp-ng,xs,,main
microsemi-smartpqi,Hypervisor & Kernel,xcp-ng,xs,,main
mpi3mr-module,Hypervisor & Kernel,xcp-ng,xcp-ng,additional driver,main
qemu,Hypervisor & Kernel,xcp-ng,xs,,main
qlogic-fastlinq,Hypervisor & Kernel,xcp-ng,xs,,main
qlogic-netxtreme2,Hypervisor & Kernel,xcp-ng,xs,,main
qlogic-qla2xxx,Hypervisor & Kernel,xcp-ng,xs,,main
qlogic-qla2xxx-firmware,Hypervisor & Kernel,xcp-ng,xs,,main
r8125-module,Hypervisor & Kernel,xcp-ng,xcp-ng,additional driver,main
swtpm,Hypervisor & Kernel,xcp-ng,xs,,main
varstored,Hypervisor & Kernel,xcp-ng,xs,,main
vcputune,Hypervisor & Kernel,xcp-ng,xs,,main
vncterm,Hypervisor & Kernel,xcp-ng,xs,,main
xcp-clipboardd,Hypervisor & Kernel,xcp-ng,xcp-ng,replaces proprietary xs-clipboardd,main
xcp-emu-manager,Hypervisor & Kernel,xcp-ng,xcp-ng,replaces proprietary emu-manager,main
xcp-ng-generic-lib,Hypervisor & Kernel,xcp-ng,xcp-ng,lib for other packages,main
xen,Hypervisor & Kernel,xcp-ng,xs,,main
xen-crashdump-analyser,Hypervisor & Kernel,xcp-ng,xs,,main
xengt-userspace,Hypervisor & Kernel,xcp-ng,xs,,main
ipxe-efi,Hypervisor & Kernel,xcp-ng,xs,,main_builddep
aqc111u-module,Hypervisor & Kernel,xcp-ng,xcp-ng,,extra
broadcom-bnxt-en-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,alternate driver,extra
cisco-enic-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,alternate driver,extra
cisco-fnic-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,alternate driver,extra
coretemp-module-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,added to workaround missing CPU temperature sensors in dom0,extra
dell-rbu-module,Hypervisor & Kernel,xcp-ng,xcp-ng,dell_rbu driver,extra
igc-module,Hypervisor & Kernel,xcp-ng,xcp-ng,extra driver,extra
intel-e1000e-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,alternate driver,extra
intel-i40e-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,alternate driver,extra
intel-ice-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,alternate driver,extra
intel-igb-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,alternate driver,extra
intel-ixgbe-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,,extra
kernel-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,alternate kernel,extra
mellanox-mlnxen-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,alternate driver,extra
microsemi-smartpqi-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,alternate driver,extra
mlx4-modules-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,additional driver,extra
qlogic-fastlinq-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,additional driver,extra
qlogic-netxtreme2-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,additional driver,extra
qlogic-qla2xxx-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,additional driver,extra
r8169-module-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,additional driver,extra
test-ring0,Hypervisor & Kernel,xcp-ng,xs,,extra
tg3-module-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,additional driver,extra
kernel-livepatch,Hypervisor & Kernel,xcp-ng,xs,,None
xen-livepatch,Hypervisor & Kernel,xcp-ng,xs,,None
amd-microcode,OS Platform,xcp-ng,xcp-ng,,main
curl,OS Platform,xcp-ng,xs,,main
dracut,OS Platform,xcp-ng,xs,,main
e2fsprogs,OS Platform,xcp-ng,xs,,main
ethtool,OS Platform,xcp-ng,xs,,main
fuse,OS Platform,xcp-ng,xs,,main
gdisk,OS Platform,xcp-ng,xs,,main
grub,OS Platform,xcp-ng,xs,,main
htop,OS Platform,xcp-ng,xcp-ng,added to default install,main
initscripts,OS Platform,xcp-ng,xs,,main
intel-microcode,OS Platform,xcp-ng,xcp-ng,,main
iproute,OS Platform,xcp-ng,xs,,main
irqbalance,OS Platform,xcp-ng,xs,,main
jemalloc,OS Platform,xcp-ng,xs,,main
libarchive,OS Platform,xcp-ng,xs,,main
linux-firmware,OS Platform,xcp-ng,xs,,main
lldpad,OS Platform,xcp-ng,xs,,main
logrotate,OS Platform,xcp-ng,xs,,main
makedumpfile,OS Platform,xcp-ng,xs,,main
mcelog,OS Platform,xcp-ng,xs,,main
memtest86+,OS Platform,xcp-ng,xs,,main
ncurses,OS Platform,xcp-ng,xs,,main
net-snmp,OS Platform,xcp-ng,xs,,main
newt,OS Platform,xcp-ng,xs,,main
openssh,OS Platform,xcp-ng,xs,,main
openssl,OS Platform,xcp-ng,xs,,main
python-defusedxml,OS Platform,xcp-ng,xs,,main
python-fasteners,OS Platform,xcp-ng,xs,,main
python-pam,OS Platform,xcp-ng,,,main
python-pyudev,OS Platform,xcp-ng,xs,,main
samba,OS Platform,xcp-ng,xs,,main
scapy,OS Platform,xcp-ng,xs,,main
setup,OS Platform,xcp-ng,xs,,main
slang,OS Platform,xcp-ng,xs,,main
sudo,OS Platform,xcp-ng,xs,,main
systemd,OS Platform,xcp-ng,xs,,main
systemtap,OS Platform,xcp-ng,xs,,main
util-linux,OS Platform,xcp-ng,xs,,main
vendor-drivers,OS Platform,xcp-ng,xs,,main
vendor-update-keys,OS Platform,xcp-ng,xcp-ng,replaces proprietary vendor-update-keys,main
vncsnapshot,OS Platform,xcp-ng,xs,,main
xcp-ng-deps,OS Platform,xcp-ng,xcp-ng,meta package that defines default installation,main
xcp-ng-plymouth-theme,OS Platform,xcp-ng,xcp-ng,replaces xenserver-plymouth-theme,main
xcp-ng-release,OS Platform,xcp-ng,xcp-ng,replaces xenserver-release,main
xenserver-dracut,OS Platform,xcp-ng,xs,,main
xenserver-hwdata,OS Platform,xcp-ng,xs,,main
xo-lite,OS Platform,xcp-ng,xcp-ng,,main
xs-openssl,OS Platform,xcp-ng,xs,,main
GeoIP,OS Platform,centos,xs,,main
OpenIPMI,OS Platform,centos,xs,,main
acl,OS Platform,centos,xs,,main
acpica-tools,OS Platform,centos,xs,,main
aic94xx-firmware,OS Platform,centos,xs,,main
arptables,OS Platform,centos,xs,,main
at,OS Platform,centos,xs,,main
attr,OS Platform,centos,xs,,main
audit,OS Platform,centos,xs,,main
autogen,OS Platform,centos,xs,,main
avahi,OS Platform,centos,xs,,main
basesystem,OS Platform,centos,xs,,main
bash,OS Platform,centos,xs,,main
bash-completion,OS Platform,centos,xs,,main
bc,OS Platform,centos,xs,,main
bind,OS Platform,centos,xs,,main
binutils,OS Platform,centos,xs,,main
boost,OS Platform,centos,xs,,main
bridge-utils,OS Platform,centos,xs,,main
bzip2,OS Platform,centos,xs,,main
ca-certificates,OS Platform,centos,xs,,main
centos-logos,OS Platform,centos,xs,,main
chkconfig,OS Platform,centos,xs,,main
chrony,OS Platform,centos,xs,,main
cifs-utils,OS Platform,centos,xs,,main
compat-db,OS Platform,centos,xs,,main
compat-gcc-32,OS Platform,centos,xs,,main
coreutils,OS Platform,centos,xs,,main
cpio,OS Platform,centos,xs,,main
cracklib,OS Platform,centos,xs,,main
cronie,OS Platform,centos,xs,,main
crontabs,OS Platform,centos,xs,,main
cryptsetup,OS Platform,centos,xs,,main
cups,OS Platform,centos,xs,,main
cyrus-sasl,OS Platform,centos,xs,,main
dbus,OS Platform,centos,xs,,main
device-mapper-persistent-data,OS Platform,centos,xs,,main
dhcp,OS Platform,centos,xs,,main
diffutils,OS Platform,centos,xs,,main
ding-libs,OS Platform,centos,xs,,main
dmidecode,OS Platform,centos,xs,,main
dyninst,OS Platform,centos,xs,,main
ebtables,OS Platform,centos,xs,,main
ed,OS Platform,centos,xs,,main
efibootmgr,OS Platform,centos,xs,,main
efivar,OS Platform,centos,xs,,main
elfutils,OS Platform,centos,xs,,main
expat,OS Platform,centos,xs,,main
expect,OS Platform,centos,xs,,main
fcoe-utils,OS Platform,centos,xs,,main
file,OS Platform,centos,xs,,main
filesystem,OS Platform,centos,xs,,main
findutils,OS Platform,centos,xs,,main
fipscheck,OS Platform,centos,xs,,main
fontconfig,OS Platform,centos,xs,,main
fontpackages,OS Platform,centos,xs,,main
freetype,OS Platform,centos,xs,,main
gawk,OS Platform,centos,xs,,main
gcc,OS Platform,centos,xs,,main
gdbm,OS Platform,centos,xs,,main
gettext,OS Platform,centos,xs,,main
glib2,OS Platform,centos,xs,,main
glibc,OS Platform,centos,xs,,main
gmp,OS Platform,centos,xs,,main
gnu-free-fonts,OS Platform,centos,xs,,main
gnupg2,OS Platform,centos,xs,,main
gnutls,OS Platform,centos,xs,,main
gpgme,OS Platform,centos,xs,,main
grep,OS Platform,centos,xs,,main
groff,OS Platform,centos,xs,,main
grubby,OS Platform,centos,xs,,main
gssproxy,OS Platform,centos,xs,,main
gzip,OS Platform,centos,xs,,main
hardlink,OS Platform,centos,xs,,main
hdparm,OS Platform,centos,xs,,main
hostname,OS Platform,centos,xs,,main
hwdata,OS Platform,centos,xs,,main
ipmitool,OS Platform,centos,xs,,main
ipset,OS Platform,centos,xs,,main
iptables,OS Platform,centos,xs,,main
iputils,OS Platform,centos,xs,,main
iscsi-initiator-utils,OS Platform,centos,xs,,main
jansson,OS Platform,centos,xs,,main
json-c,OS Platform,centos,xs,,main
json-glib,OS Platform,centos,xs,,main
kbd,OS Platform,centos,xs,,main
keyutils,OS Platform,centos,xs,,main
kmod,OS Platform,centos,xs,,main
krb5,OS Platform,centos,xs,,main
less,OS Platform,centos,xs,,main
libaio,OS Platform,centos,xs,,main
libassuan,OS Platform,centos,xs,,main
libcap,OS Platform,centos,xs,,main
libcap-ng,OS Platform,centos,xs,,main
libcgroup,OS Platform,centos,xs,,main
libconfig,OS Platform,centos,xs,,main
libcroco,OS Platform,centos,xs,,main
libdb,OS Platform,centos,xs,,main
libdwarf,OS Platform,centos,xs,,main
libedit,OS Platform,centos,xs,,main
libestr,OS Platform,centos,xs,,main
libev,OS Platform,centos,xs,,main
libevent,OS Platform,centos,xs,,main
libfastjson,OS Platform,centos,xs,,main
libffi,OS Platform,centos,xs,,main
libgcrypt,OS Platform,centos,xs,,main
libgpg-error,OS Platform,centos,xs,,main
libidn,OS Platform,centos,xs,,main
libjpeg-turbo,OS Platform,centos,xs,,main
libldb,OS Platform,centos,xs,,main
libmnl,OS Platform,centos,xs,,main
libnetfilter_conntrack,OS Platform,centos,xs,,main
libnfnetlink,OS Platform,centos,xs,,main
libnfsidmap,OS Platform,centos,xs,,main
libnl3,OS Platform,centos,xs,,main
libpcap,OS Platform,centos,xs,,main
libpciaccess,OS Platform,centos,xs,,main
libpipeline,OS Platform,centos,xs,,main
libpng,OS Platform,centos,xs,,main
libpwquality,OS Platform,centos,xs,,main
libreport,OS Platform,centos,xs,,main
libseccomp,OS Platform,centos,xs,,main
libselinux,OS Platform,centos,xs,,main
libsemanage,OS Platform,centos,xs,,main
libsepol,OS Platform,centos,xs,,main
libssh2,OS Platform,centos,xs,,main
libtalloc,OS Platform,centos,xs,,main
libtasn1,OS Platform,centos,xs,,main
libtdb,OS Platform,centos,xs,,main
libtevent,OS Platform,centos,xs,,main
libtirpc,OS Platform,centos,xs,,main
libunistring,OS Platform,centos,xs,,main
libusbx,OS Platform,centos,xs,,main
libuser,OS Platform,centos,xs,,main
libutempter,OS Platform,centos,xs,,main
libverto,OS Platform,centos,xs,,main
libxml2,OS Platform,centos,xs,,main
lm_sensors,OS Platform,centos,xs,,main
lsof,OS Platform,centos,xs,,main
lua,OS Platform,centos,xs,,main
lz4,OS Platform,centos,xs,,main
lzo,OS Platform,centos,xs,,main
m4,OS Platform,centos,xs,,main
mailx,OS Platform,centos,xs,,main
make,OS Platform,centos,xs,,main
man-db,OS Platform,centos,xs,,main
mariadb,OS Platform,centos,xs,,main
mdadm,OS Platform,centos,xs,,main
nano,OS Platform,centos,xs,,main
net-tools,OS Platform,centos,xs,,main
nettle,OS Platform,centos,xs,,main
nfs-utils,OS Platform,centos,xs,,main
nspr,OS Platform,centos,xs,,main
nss,OS Platform,centos,xs,,main
nss-pem,OS Platform,centos,xs,,main
nss-softokn,OS Platform,centos,xs,,main
nss-util,OS Platform,centos,xs,,main
numactl,OS Platform,centos,xs,,main
openldap,OS Platform,centos,xs,,main
os-prober,OS Platform,centos,xs,,main
p11-kit,OS Platform,centos,xs,,main
pam,OS Platform,centos,xs,,main
parted,OS Platform,centos,xs,,main
passwd,OS Platform,centos,xs,,main
patch,OS Platform,centos,xs,,main
pciutils,OS Platform,centos,xs,,main
pcre,OS Platform,centos,xs,,main
perl,OS Platform,centos,xs,,main
perl-Carp,OS Platform,centos,xs,,main
perl-Data-Dumper,OS Platform,centos,xs,,main
perl-Encode,OS Platform,centos,xs,,main
perl-Exporter,OS Platform,centos,xs,,main
perl-File-Path,OS Platform,centos,xs,,main
perl-File-Temp,OS Platform,centos,xs,,main
perl-Filter,OS Platform,centos,xs,,main
perl-Getopt-Long,OS Platform,centos,xs,,main
perl-HTTP-Tiny,OS Platform,centos,xs,,main
perl-PathTools,OS Platform,centos,xs,,main
perl-Pod-Perldoc,OS Platform,centos,xs,,main
perl-Pod-Simple,OS Platform,centos,xs,,main
perl-Pod-Usage,OS Platform,centos,xs,,main
perl-Scalar-List-Utils,OS Platform,centos,xs,,main
perl-Socket,OS Platform,centos,xs,,main
perl-Storable,OS Platform,centos,xs,,main
perl-Text-ParseWords,OS Platform,centos,xs,,main
perl-Time-HiRes,OS Platform,centos,xs,,main
perl-Time-Local,OS Platform,centos,xs,,main
perl-WWW-Curl,OS Platform,centos,xs,,main
perl-constant,OS Platform,centos,xs,,main
perl-parent,OS Platform,centos,xs,,main
perl-podlators,OS Platform,centos,xs,,main
perl-threads,OS Platform,centos,xs,,main
perl-threads-shared,OS Platform,centos,xs,,main
pinentry,OS Platform,centos,xs,,main
pixman,OS Platform,centos,xs,,main
pkgconfig,OS Platform,centos,xs,,main
plymouth,OS Platform,centos,xs,,main
policycoreutils,OS Platform,centos,xs,,main
popt,OS Platform,centos,xs,,main
portreserve,OS Platform,centos,xs,,main
procps-ng,OS Platform,centos,xs,,main
psmisc,OS Platform,centos,xs,,main
pth,OS Platform,centos,xs,,main
pygpgme,OS Platform,centos,xs,,main
pyliblzma,OS Platform,centos,xs,,main
pyserial,OS Platform,centos,xs,,main
python,OS Platform,centos,xs,,main
python-chardet,OS Platform,centos,xs,,main
python-iniparse,OS Platform,centos,xs,,main
python-kitchen,OS Platform,centos,xs,,main
python-pip,OS Platform,centos,xs,,main
python-pycurl,OS Platform,centos,xs,,main
python-six,OS Platform,centos,xs,,main
python-urlgrabber,OS Platform,centos,xs,,main
python3,OS Platform,centos,xs,,main
python3-setuptools,OS Platform,centos,xs,,main
pyxattr,OS Platform,centos,xs,,main
qrencode,OS Platform,centos,xs,,main
quota,OS Platform,centos,xs,,main
readline,OS Platform,centos,xs,,main
redhat-lsb,OS Platform,centos,xs,,main
rootfiles,OS Platform,centos,xs,,main
rpcbind,OS Platform,centos,xs,,main
rpm,OS Platform,centos,xs,,main
rsync,OS Platform,centos,xs,,main
rsyslog,OS Platform,centos,xs,updated by us to rsyslog-8.24.0-52.el7_8.2 for memory leak fixes. Dependency libfastjson not updated but would need to be if we used the mm-normalize plugin (RHBZ #1591493),main
screen,OS Platform,centos,xs,,main
sed,OS Platform,centos,xs,,main
sg3_utils,OS Platform,centos,xs,,main
shadow-utils,OS Platform,centos,xs,,main
shared-mime-info,OS Platform,centos,xs,,main
sharutils,OS Platform,centos,xs,,main
smartmontools,OS Platform,centos,xs,,main
sqlite,OS Platform,centos,xs,,main
star,OS Platform,centos,xs,,main
strace,OS Platform,centos,xs,,main
sysfsutils,OS Platform,centos,xs,,main
sysstat,OS Platform,centos,xs,,main
system-config-firewall,OS Platform,centos,xs,,main
sysvinit,OS Platform,centos,xs,,main
tar,OS Platform,centos,xs,,main
tcl,OS Platform,centos,xs,,main
tcp_wrappers,OS Platform,centos,xs,,main
tcpdump,OS Platform,centos,xs,,main
telnet,OS Platform,centos,xs,,main
texinfo,OS Platform,centos,xs,,main
time,OS Platform,centos,xs,,main
trousers,OS Platform,centos,xs,,main
tzdata,OS Platform,centos,xs,,main
unbound,OS Platform,centos,xs,,main
unzip,OS Platform,centos,xs,,main
usbutils,OS Platform,centos,xs,,main
ustr,OS Platform,centos,xs,,main
vim,OS Platform,centos,xs,,main
wget,OS Platform,centos,xs,,main
which,OS Platform,centos,xs,,main
xdelta,OS Platform,centos,xs,,main
xz,OS Platform,centos,xs,,main
yajl,OS Platform,centos,xs,,main
yum,OS Platform,centos,xs,,main
yum-metadata-parser,OS Platform,centos,xs,,main
yum-utils,OS Platform,centos,xs,,main
zip,OS Platform,centos,xs,,main
zlib,OS Platform,centos,xs,,main
createrepo_c,OS Platform,epel,xs,,main
future,OS Platform,epel,xs,,main
iftop,OS Platform,epel,xcp-ng,added to default install,main
python-bitarray,OS Platform,epel,xs,,main
python3-six,OS Platform,epel,xs,,main
ssmtp,OS Platform,epel,xs,,main
vconfig,OS Platform,epel,xs,,main
xxhash,OS Platform,epel,xs,,main
zstd,OS Platform,epel,xs,,main
branding-xcp-ng,OS Platform,xcp-ng,xcp-ng,replaces branding-xenserver,main_builddep
cmake3,OS Platform,xcp-ng,xcp-ng,"Initially imported by us, XS started using it. For XS 8, they forked cmake-3.26.4-4.fc37.src.rpm. At first, we keep ours because we found nothing that would require cmake3 in recent updates",main_builddep
devtoolset-11-binutils,OS Platform,xcp-ng,xs,,main_builddep
devtoolset-11-gcc,OS Platform,xcp-ng,xs,,main_builddep
dwarves,OS Platform,xcp-ng,,,main_builddep
nasm,OS Platform,xcp-ng,xs,,main_builddep
python3-coverage,OS Platform,xcp-ng,xs,,main_builddep
socat,OS Platform,xcp-ng,xcp-ng,extra tool,main_builddep
asciidoc,OS Platform,centos,,,main_builddep
autoconf,OS Platform,centos,,,main_builddep
automake,OS Platform,centos,,,main_builddep
bison,OS Platform,centos,,,main_builddep
cdrkit,OS Platform,centos,,,main_builddep
ceph-common,OS Platform,centos,xs,,main_builddep
chrpath,OS Platform,centos,,,main_builddep
crash,OS Platform,centos,,,main_builddep
desktop-file-utils,OS Platform,centos,,,main_builddep
