SRPM name,Maintained by,built by,added by,import reason,main role
devtoolset-10-gcc,OS Platform,centos,,,main_builddep
docbook-dtds,OS Platform,centos,,,main_builddep
docbook-style-xsl,OS Platform,centos,,,main_builddep
flex,OS Platform,centos,,,main_builddep
gc,OS Platform,centos,,,main_builddep
git,OS Platform,centos,,,main_builddep
gobject-introspection,OS Platform,centos,,,main_builddep
gperf,OS Platform,centos,,,main_builddep
gpm,OS Platform,centos,xcp-ng,,main_builddep
gtk-doc,OS Platform,centos,,,main_builddep
help2man,OS Platform,centos,,,main_builddep
intltool,OS Platform,centos,,,main_builddep
libmicrohttpd,OS Platform,centos,,,main_builddep
libtool,OS Platform,centos,,,main_builddep
libunwind,OS Platform,centos,,,main_builddep
libusb,OS Platform,centos,,,main_builddep
libxcb,OS Platform,centos,,,main_builddep
libxslt,OS Platform,centos,xs,,main_builddep
lksctp-tools,OS Platform,centos,,,main_builddep
mtools,OS Platform,centos,,,main_builddep
nmap,OS Platform,centos,xcp-ng,extra tool,main_builddep
perl-Digest-MD5,OS Platform,centos,,,main_builddep
perl-Digest-SHA,OS Platform,centos,,,main_builddep
perl-ExtUtils-MakeMaker,OS Platform,centos,,,main_builddep
perl-IO-Compress,OS Platform,centos,,,main_builddep
perl-Module-Load-Conditional,OS Platform,centos,,,main_builddep
perl-Parse-Yapp,OS Platform,centos,,,main_builddep
perl-Test-Harness,OS Platform,centos,,,main_builddep
perl-Test-Simple,OS Platform,centos,,,main_builddep
python-dns,OS Platform,centos,,,main_builddep
python-lxml,OS Platform,centos,,,main_builddep
python-rpm-macros,OS Platform,centos,,,main_builddep
python-setuptools,OS Platform,centos,,,main_builddep
softhsm,OS Platform,centos,,,main_builddep
syslinux,OS Platform,centos,,,main_builddep
valgrind,OS Platform,centos,,,main_builddep
xfsprogs,OS Platform,centos,xcp-ng,,main_builddep
xmlto,OS Platform,centos,,,main_builddep
xorg-x11-util-macros,OS Platform,centos,,,main_builddep
cmocka,OS Platform,epel,,,main_builddep
dev86,OS Platform,epel,,,main_builddep
dpkg,OS Platform,epel,,,main_builddep
epel-rpm-macros,OS Platform,epel,,,main_builddep
fakeroot,OS Platform,epel,,,main_builddep
figlet,OS Platform,epel,,,main_builddep
golang,OS Platform,epel,,,main_builddep
golang-github-golang-sys,OS Platform,epel,,,main_builddep
lcov,OS Platform,epel,,,main_builddep
perl-generators,OS Platform,epel,,,main_builddep
pylint,OS Platform,epel,,,main_builddep
python-demjson,OS Platform,epel,,,main_builddep
python-iso8601,OS Platform,epel,,,main_builddep
python-mock,OS Platform,epel,,,main_builddep
python3-mock,OS Platform,epel,,,main_builddep
devtoolset-11,OS Platform,xcp-ng,xs,,main_builddep_dep
SDL,OS Platform,centos,,,main_builddep_dep
apr,OS Platform,centos,,,main_builddep_dep
apr-util,OS Platform,centos,,,main_builddep_dep
atk,OS Platform,centos,,,main_builddep_dep
cairo,OS Platform,centos,,,main_builddep_dep
centos-indexhtml,OS Platform,centos,,,main_builddep_dep
checkpolicy,OS Platform,centos,,,main_builddep_dep
ctags,OS Platform,centos,,,main_builddep_dep
dejavu-fonts,OS Platform,centos,,,main_builddep_dep
devtoolset-10,OS Platform,centos,,,main_builddep_dep
devtoolset-10-binutils,OS Platform,centos,,,main_builddep_dep
docbook-style-dsssl,OS Platform,centos,,,main_builddep_dep
docbook-utils,OS Platform,centos,,,main_builddep_dep
dwz,OS Platform,centos,,,main_builddep_dep
emacs,OS Platform,centos,,,main_builddep_dep
gd,OS Platform,centos,,,main_builddep_dep
gdk-pixbuf2,OS Platform,centos,,,main_builddep_dep
ghostscript,OS Platform,centos,,,main_builddep_dep
ghostscript-fonts,OS Platform,centos,,,main_builddep_dep
graphite2,OS Platform,centos,,,main_builddep_dep
graphviz,OS Platform,centos,,,main_builddep_dep
gtk2,OS Platform,centos,,,main_builddep_dep
gtk3,OS Platform,centos,,,main_builddep_dep
guile,OS Platform,centos,,,main_builddep_dep
harfbuzz,OS Platform,centos,,,main_builddep_dep
hicolor-icon-theme,OS Platform,centos,,,main_builddep_dep
icu,OS Platform,centos,xs,,main_builddep_dep
jasper,OS Platform,centos,,,main_builddep_dep
jbigkit,OS Platform,centos,,,main_builddep_dep
lcms2,OS Platform,centos,,,main_builddep_dep
libICE,OS Platform,centos,,,main_builddep_dep
libSM,OS Platform,centos,,,main_builddep_dep
libX11,OS Platform,centos,,,main_builddep_dep
libXau,OS Platform,centos,,,main_builddep_dep
libXaw,OS Platform,centos,,,main_builddep_dep
libXcomposite,OS Platform,centos,,,main_builddep_dep
libXcursor,OS Platform,centos,,,main_builddep_dep
libXdamage,OS Platform,centos,,,main_builddep_dep
libXext,OS Platform,centos,,,main_builddep_dep
libXfixes,OS Platform,centos,,,main_builddep_dep
libXfont,OS Platform,centos,,,main_builddep_dep
libXft,OS Platform,centos,,,main_builddep_dep
libXi,OS Platform,centos,,,main_builddep_dep
libXinerama,OS Platform,centos,,,main_builddep_dep
libXmu,OS Platform,centos,,,main_builddep_dep
libXpm,OS Platform,centos,,,main_builddep_dep
libXrandr,OS Platform,centos,,,main_builddep_dep
libXrender,OS Platform,centos,,,main_builddep_dep
libXt,OS Platform,centos,,,main_builddep_dep
libXxf86vm,OS Platform,centos,,,main_builddep_dep
libdaemon,OS Platform,centos,,,main_builddep_dep
libfontenc,OS Platform,centos,,,main_builddep_dep
libgnome-keyring,OS Platform,centos,,,main_builddep_dep
libmodman,OS Platform,centos,,,main_builddep_dep
libmpc,OS Platform,centos,,,main_builddep_dep
libproxy,OS Platform,centos,,,main_builddep_dep
librsvg2,OS Platform,centos,,,main_builddep_dep
libthai,OS Platform,centos,,,main_builddep_dep
libtiff,OS Platform,centos,,,main_builddep_dep
libxshmfence,OS Platform,centos,,,main_builddep_dep
linuxconsoletools,OS Platform,centos,,,main_builddep_dep
lynx,OS Platform,centos,,,main_builddep_dep
mercurial,OS Platform,centos,,,main_builddep_dep
mesa,OS Platform,centos,,,main_builddep_dep
mpfr,OS Platform,centos,,,main_builddep_dep
neon,OS Platform,centos,,,main_builddep_dep
openjade,OS Platform,centos,,,main_builddep_dep
opensp,OS Platform,centos,,,main_builddep_dep
pakchois,OS Platform,centos,,,main_builddep_dep
pango,OS Platform,centos,,,main_builddep_dep
perl-Compress-Raw-Bzip2,OS Platform,centos,,,main_builddep_dep
perl-Compress-Raw-Zlib,OS Platform,centos,,,main_builddep_dep
perl-Digest,OS Platform,centos,,,main_builddep_dep
perl-Digest-SHA1,OS Platform,centos,,,main_builddep_dep
perl-Error,OS Platform,centos,,,main_builddep_dep
perl-ExtUtils-Manifest,OS Platform,centos,,,main_builddep_dep
perl-ExtUtils-ParseXS,OS Platform,centos,,,main_builddep_dep
perl-GD,OS Platform,centos,,,main_builddep_dep
perl-Locale-Maketext,OS Platform,centos,,,main_builddep_dep
perl-Module-Load,OS Platform,centos,,,main_builddep_dep
perl-Module-Metadata,OS Platform,centos,,,main_builddep_dep
perl-Params-Check,OS Platform,centos,,,main_builddep_dep
perl-SGMLSpm,OS Platform,centos,,,main_builddep_dep
perl-TermReadKey,OS Platform,centos,,,main_builddep_dep
perl-Text-Unidecode,OS Platform,centos,,,main_builddep_dep
perl-Thread-Queue,OS Platform,centos,,,main_builddep_dep
perl-TimeDate,OS Platform,centos,,,main_builddep_dep
perl-XML-Parser,OS Platform,centos,,,main_builddep_dep
perl-libintl,OS Platform,centos,,,main_builddep_dep
perl-srpm-macros,OS Platform,centos,,,main_builddep_dep
perl-version,OS Platform,centos,,,main_builddep_dep
poppler-data,OS Platform,centos,,,main_builddep_dep
pyOpenSSL,OS Platform,centos,,,main_builddep_dep
pyparsing,OS Platform,centos,,,main_builddep_dep
python-IPy,OS Platform,centos,,,main_builddep_dep
python-backports,OS Platform,centos,,,main_builddep_dep
python-backports-ssl_match_hostname,OS Platform,centos,,,main_builddep_dep
python-beaker,OS Platform,centos,,,main_builddep_dep
python-ipaddress,OS Platform,centos,,,main_builddep_dep
python-mako,OS Platform,centos,,,main_builddep_dep
python-markupsafe,OS Platform,centos,,,main_builddep_dep
python-paste,OS Platform,centos,,,main_builddep_dep
python-rpm-generators,OS Platform,centos,,,main_builddep_dep
python-tempita,OS Platform,centos,,,main_builddep_dep
redhat-rpm-config,OS Platform,centos,,,main_builddep_dep
scl-utils,OS Platform,centos,,,main_builddep_dep
setools,OS Platform,centos,,,main_builddep_dep
sgml-common,OS Platform,centos,,,main_builddep_dep
snappy,OS Platform,centos,,,main_builddep_dep
source-highlight,OS Platform,centos,,,main_builddep_dep
subversion,OS Platform,centos,,,main_builddep_dep
urw-fonts,OS Platform,centos,,,main_builddep_dep
wayland,OS Platform,centos,,,main_builddep_dep
xorg-x11-font-utils,OS Platform,centos,,,main_builddep_dep
xorg-x11-proto-devel,OS Platform,centos,,,main_builddep_dep
bubblewrap,OS Platform,epel,,,main_builddep_dep
perl-Digest-SHA3,OS Platform,epel,,,main_builddep_dep
perl-Email-Date-Format,OS Platform,epel,,,main_builddep_dep
perl-MIME-Lite,OS Platform,epel,,,main_builddep_dep
perl-MIME-Types,OS Platform,epel,,,main_builddep_dep
python-astroid,OS Platform,epel,,,main_builddep_dep
python-isort,OS Platform,epel,,,main_builddep_dep
python-lazy-object-proxy,OS Platform,epel,,,main_builddep_dep
python-mccabe,OS Platform,epel,,,main_builddep_dep
python-pbr,OS Platform,epel,,,main_builddep_dep
python-wrapt,OS Platform,epel,,,main_builddep_dep
devtoolset-11-gdb,OS Platform,xcp-ng,xs,,main_indirect_builddep
dejagnu,OS Platform,centos,,,main_indirect_builddep
gcc-libraries,OS Platform,centos,,,main_indirect_builddep
perl-Env,OS Platform,centos,,,main_indirect_builddep
glusterfs,OS Platform,xcp-ng,xcp-ng,additional glusterfs package,extra
iperf3,OS Platform,xcp-ng,xcp-ng,extra tool,extra
nvme-cli,OS Platform,xcp-ng,xcp-ng,extra tool,extra
traceroute,OS Platform,xcp-ng,xcp-ng,extra tool,extra
update-package,OS Platform,xcp-ng,xcp-ng,needed to build driver disks,extra
zfs,OS Platform,xcp-ng,xcp-ng,ZFS support,extra
dstat,OS Platform,centos,xcp-ng,extra tool,extra
iotop,OS Platform,centos,xcp-ng,extra tool,extra
lshw,OS Platform,centos,xcp-ng,extra tool,extra
mc,OS Platform,centos,xcp-ng,extra tool,extra
mtr,OS Platform,centos,xcp-ng,extra tool,extra
tmux,OS Platform,centos,xcp-ng,extra tool,extra
tree,OS Platform,centos,xcp-ng,extra tool,extra
wpa_supplicant,OS Platform,centos,xcp-ng,extra tool,extra
iperf,OS Platform,epel,xcp-ng,extra tool,extra
joe,OS Platform,epel,xcp-ng,extra tool,extra
nload,OS Platform,epel,xcp-ng,extra tool,extra
protobuf,OS Platform,xcp-ng,xcp-ng,"dep and builddep for netdata, which needs protobuf 3",extra_dep
protobuf-c,OS Platform,xcp-ng,xcp-ng,"dep and builddep for netdata, which needs a version of protobuf-c compatible with protobuf 3",extra_dep
python-libarchive-c,OS Platform,xcp-ng,xcp-ng,dep of update-package,extra_dep
zfs-kmod,OS Platform,xcp-ng,xcp-ng,ZFS dep,extra_dep
gdb,OS Platform,centos,xcp-ng,dep of update-package,extra_dep
libyaml,OS Platform,centos,,,extra_dep
python-cffi,OS Platform,centos,xcp-ng,,extra_dep
python-cryptography,OS Platform,centos,xcp-ng,,extra_dep
python-enum34,OS Platform,centos,xcp-ng,,extra_dep
python-idna,OS Platform,centos,xcp-ng,,extra_dep
python-paramiko,OS Platform,centos,xcp-ng,,extra_dep
python-ply,OS Platform,centos,xcp-ng,,extra_dep
python-pyasn1,OS Platform,centos,xcp-ng,,extra_dep
python-pycparser,OS Platform,centos,xcp-ng,,extra_dep
libuv,OS Platform,epel,,,extra_dep
userspace-rcu,OS Platform,epel,xcp-ng,builddep and dep for glusterfs,extra_dep
autoconf-archive,OS Platform,centos,,,extra_builddep
doxygen,OS Platform,centos,xs,,extra_builddep
freeipmi,OS Platform,centos,xcp-ng,,extra_builddep
ncompress,OS Platform,centos,,,extra_builddep
perl-Devel-CheckLib,OS Platform,centos,,,extra_builddep
pytest,OS Platform,centos,,,extra_builddep
swig,OS Platform,centos,,,extra_builddep
Judy,OS Platform,epel,xcp-ng,dependency of netdata,extra_builddep
python-packaging,OS Platform,epel,,,extra_builddep
python3-cffi,OS Platform,epel,,,extra_builddep
GConf2,OS Platform,centos,,,extra_builddep_dep
ImageMagick,OS Platform,centos,,,extra_builddep_dep
OpenEXR,OS Platform,centos,,,extra_builddep_dep
adwaita-icon-theme,OS Platform,centos,,,extra_builddep_dep
alsa-lib,OS Platform,centos,,,extra_builddep_dep
at-spi2-atk,OS Platform,centos,,,extra_builddep_dep
at-spi2-core,OS Platform,centos,,,extra_builddep_dep
colord,OS Platform,centos,,,extra_builddep_dep
dbus-glib,OS Platform,centos,,,extra_builddep_dep
dconf,OS Platform,centos,,,extra_builddep_dep
giflib,OS Platform,centos,,,extra_builddep_dep
glib-networking,OS Platform,centos,,,extra_builddep_dep
gsettings-desktop-schemas,OS Platform,centos,,,extra_builddep_dep
ilmbase,OS Platform,centos,,,extra_builddep_dep
libXtst,OS Platform,centos,,,extra_builddep_dep
libepoxy,OS Platform,centos,,,extra_builddep_dep
libgusb,OS Platform,centos,,,extra_builddep_dep
liblockfile,OS Platform,centos,,,extra_builddep_dep
libotf,OS Platform,centos,,,extra_builddep_dep
libsoup,OS Platform,centos,,,extra_builddep_dep
libwmf,OS Platform,centos,,,extra_builddep_dep
libxkbcommon,OS Platform,centos,,,extra_builddep_dep
m17n-db,OS Platform,centos,,,extra_builddep_dep
m17n-lib,OS Platform,centos,,,extra_builddep_dep
mozjs17,OS Platform,centos,,,extra_builddep_dep
polkit,OS Platform,centos,,,extra_builddep_dep
polkit-pkla-compat,OS Platform,centos,,,extra_builddep_dep
python-py,OS Platform,centos,,,extra_builddep_dep
rest,OS Platform,centos,,,extra_builddep_dep
xkeyboard-config,OS Platform,centos,,,extra_builddep_dep
python3-ply,OS Platform,epel,,,extra_builddep_dep
python3-pycparser,OS Platform,epel,,,extra_builddep_dep
python3-pyparsing,OS Platform,epel,,,extra_builddep_dep
dtc,OS Platform,xcp-ng,xcp-ng,dep of xcp-ng-xapi-storage,other_builddep
livepatch-build-tools,OS Platform,xcp-ng,xs,Used to be a dep for livepatch-utils which is proprietary,other_builddep
meson,OS Platform,xcp-ng,xcp-ng,dep of qemu-dp,other_builddep
libqb,OS Platform,centos,xs,,other_builddep
iso-codes,OS Platform,centos,,,other_builddep_dep
ninja-build,OS Platform,epel,,,other_builddep_dep
copy-jdk-configs,OS Platform,centos,,,other_dep
dosfstools,OS Platform,centos,,,other_dep
javapackages-tools,OS Platform,centos,,,other_dep
libhbaapi,OS Platform,centos,,,other_dep
lsscsi,OS Platform,centos,xcp-ng,extra tool,other_dep
pcsc-lite,OS Platform,centos,,,other_dep
sanlock,OS Platform,centos,,,other_dep
sdparm,OS Platform,centos,,,other_dep
ttmkfdir,OS Platform,centos,,,other_dep
xorg-x11-fonts,OS Platform,centos,,,other_dep
ndisc6,OS Platform,epel,,,other_dep
python-backports-functools_lru_cache,OS Platform,epel,,,other_dep
python-configparser,OS Platform,epel,,,other_dep
python-simplejson,OS Platform,epel,,,other_dep
python-singledispatch,OS Platform,epel,,,other_dep
dummypkg,OS Platform,xcp-ng,xcp-ng,,None
host-installer,OS Platform,xcp-ng,xcp-ng,,None
java-11-openjdk,OS Platform,centos,xcp-ng,Dependency of XOSTOR,None
libfaketime,OS Platform,epel,xcp-ng,Used for installer ISO generation,None
netdata,OS Platform :’(,xcp-ng,xcp-ng,"netdata package for XO, netdata-ui for users",extra
xcp-ng-pv-tools,OS Platform for the packaging part,xcp-ng,xcp-ng,,main
blktap,Storage,xcp-ng,xs,,main
device-mapper-multipath,Storage,xcp-ng,xs,,main
lvm2,Storage,xcp-ng,xs,,main
nbd,Storage,xcp-ng,xs,,main
sm,Storage,xcp-ng,xs,,main
xcp-ng-release-linstor,Storage,xcp-ng,xcp-ng,,extra
nbdkit,Storage,centos,xcp-ng,added as dependency for XOSTOR,other_builddep
http-nbd-transfer,Storage,xcp-ng,xcp-ng,XOSTOR dep,None
plug-late-sr,Storage,xcp-ng,,,None
python-linstor,Storage,xcp-ng,,,None
xcp-ng-xapi-storage,Storage,xcp-ng,xcp-ng,"SMAPIv3 implementation, replaces proprietary implementation",None
busybox,XAPI & Network,xcp-ng,xs,,main
gpumon,XAPI & Network,xcp-ng,xs,,main
host-upgrade-plugin,XAPI & Network,xcp-ng,xs,,main
interface-rename,XAPI & Network,xcp-ng,xs,,main
openvswitch,XAPI & Network,xcp-ng,xs,,main
stunnel,XAPI & Network,xcp-ng,xs,,main
xapi,XAPI & Network,xcp-ng,xs,,main
xcp-featured,XAPI & Network,xcp-ng,xcp-ng,replaces proprietary v6d-citrix,main
xcp-ng-xapi-plugins,XAPI & Network,xcp-ng,xcp-ng,XAPI plugins,main
xcp-python-libs,XAPI & Network,xcp-ng,xs,,main
xcp-python-libs-compat,XAPI & Network,xcp-ng,xs,,main
xenserver-status-report,XAPI & Network,xcp-ng,xs,,main
xha,XAPI & Network,xcp-ng,xs,,main
xsconsole,XAPI & Network,xcp-ng,xs,,main
ocaml,XAPI & Network,xcp-ng,xs,,main_builddep
ocaml-findlib,XAPI & Network,xcp-ng,xs,,main_builddep
xs-opam-repo,XAPI & Network,xcp-ng,xs,,main_builddep
opam,XAPI & Network,xcp-ng,xs,,main_builddep_dep
xs-opam-src,XAPI & Network,xcp-ng,xs,,main_indirect_builddep
ldns,XAPI & Network,xcp-ng,xcp-ng,,extra_dep
libreswan,XAPI & Network,xcp-ng,xcp-ng,,extra_dep
corosync,,xcp-ng,xs,"Required for clustering, a feature we don't support. Was also required to build lvm2's lvm2-cluster subpackage. lvm2 rebuilt without cvcluster support and corosync removed from dom0, along with dlm",None
devtoolset-11-elfutils,,xcp-ng,xs,Not really used?,None
linux-guest-loader,,xcp-ng,xs,,None
qemu-dp,,xcp-ng,xs,,None
rrd-client-lib,,xcp-ng,xs,dependency of proprietary pvsproxy,None
sm-core-libs,,xcp-ng,xs,deps for proprietary sm-transport-libs,None
PyPAM,,centos,xs,,None
cmake,,centos,,,None
dlm,,centos,xs,"Was a requirement of corosync, but we don't include corosync anymore in dom0. Was also a build dep for one of lvm2's subpackages, that we don't build anymore to remove the build dependency towards dlm. We also removed dlm from xs-opam-repo.",None
java-1.8.0-openjdk,,centos,xcp-ng,Former dependency of XOSTOR,None
libhbalinux,,centos,xs,why still here?,None
libvirt,,centos,xs,"Used to be a dependency for systemtap, in 8.2",None
llvm,,centos,,,None
m2crypto,,centos,xs,,None
oprofile,,centos,xs,,None
python-coverage,,centos,,,None
python-nose,,centos,,,None
capstone,,epel,,,None
jsoncpp,,epel,,,None
python-asn1crypto,,epel,xs,Used to be dep for proprietary secureboot-certificates. Unneeded.,None
python-monotonic,,epel,xs,,None
python-psutil,,epel,xcp-ng,,None
python2-enum34,,epel,xs,dep for proprietary secureboot-certificates. Drop?,None
re2c,,epel,,,None
rhash,,epel,,,None
